"id","name","content","user_id","created_at","updated_at","picture_file_name","picture_content_type","picture_file_size","picture_updated_at","tags"
12,"Snelle preisoep","Omdat het weer volop preiseizoen is heb ik dit vanavond even geprobeerd; een snel soepje zonder room e.d. dus goed voor de lijn.<br><br><b>Benodigdheden:<br></b>3 stuks prei<br>2 tenen knoflook<br>2 uien<br>1 grote aardappel<br>1/4 kopje rijst<br>1.5 liter bouillon<br>scheutje sherry<br>een paar spekjes<br>1 takje peterselie<br><br><b>Bereiding:<br></b>Fruit het gesnipperd uitje en knoflook&nbsp;op laag vuur in wat olijfolie. Maak ondertussen de prei schoon en snij hem in hele of halve ringen en voeg hem toe aan de ui/knoflook, bewaar een beetje voor de garnering. Schil de aardappel en hak hem in kleine stukjes en voeg hem toe aan de rest. Bak het even en voeg dan de bouillon toe en de rijst. Laat het een half uur pruttelen. Dan kun je de soep door een zeef duwen of pureren. Voeg daarna het restje prei toe wat je nog over had. Voeg een scheutje sherry toe en breng op smaak met wat peper en/of zout.<br><br>Bak wat stukjes spek uit en doe die na het opdienen in het midden van het bord op de soep leggen met een takje peterselie.<b><br></b>",1,"2014-08-19 21:18:58.716159","2014-08-19 21:29:24.66334","","","","",""
13,"Spaghetti Aglio, Olio E Peperoncino","Mijn persoonlijke favoriet vooral omdat het ultra snel klaar is.<br><br><b>Benodigdheden:<br></b>1-2 rode pepers<br>2-3 knoflook<br>paar takjes&nbsp;peterselie<br>half pak goeie pasta (met ei erin)<br>6 eetlepels goeie olijfolie<br><br><b>Bereiding<br></b>Breng water aan de kook voor de pasta. Tegen de tijd dat het water bijna kookt doe je de klein gesneden pepers en de in dunne plakjes gesneden knoflook in een koekepan met de olie. Zet het vuur laag en roer regelmatig.&nbsp;Kook dan de pasta al dente 7 a 8 minuten. Wanneer de pasta bijna klaar is doe je de peterselie bij het knoflook en peper mengsel en voeg je wat zout toe. Giet de pasta af en doe hem in de koekepan roer een paar keer zodat de pasta de saus tot zich neemt.<b><br></b>",1,"2014-08-19 21:30:14.361164","2015-01-03 20:06:17.558955","227131-960x720-spaghetti-aglio-olio-e-peperoncino.jpg","image/jpeg",196656,"2015-01-03 20:06:16.473564",""
14,"Pomme Dauphine","Een lekkere variatie op het thema aardappelen.<br><br>De hoeveelheden zijn voor 2 personen waarbij ik ervan uitga dat het grote eters zijn. Je maakt 2 degen:<br><br><b>Deeg 1 -&nbsp;Soezen deeg</b>:<br>125ml water, mespuntje zout, 40gr boter, 80gram meel, 2 kleine eieren:<br><br>Water koken; boter erbij; wanneer het kookt meel toevoegen in 1x en roeren totdat je een bal hebt die loslaat van de pan. In een grote kom doen.&nbsp;Laten afkoelen en dan 2 eieren erbij; 1 voor 1 roeren!<br><br><b>Deeg 2 - Aardappeldeeg</b><br>300gram aardappels koken en pureren of door pastafiet draaien. Je moet na het pureren 300gram hebben dus je kan beter iets meer koken. 1&nbsp;halve tl zout en nootmuskaat toevoegen en het geheel na afkoelen toevoegen aan deeg 1.<br><b><br></b>De deeg kun je nu een tijdje bewaren; dus dat kun je goed van te voren maken.<b><br><br>Bereiding</b><br>Liter olie verwarmen tot 180 graden. Bijvoorbeeld in een wok. Dan met 2 eetlepels bolletjes maken van de deeg en die voorzichtig in de hete olie laten glijden. Ca 5 minuten frituren in kleine porties om het vet niet te veel af te laten koelen.<br>",1,"2014-12-26 13:59:37.606427","2015-01-03 20:02:17.037506","pommes_de_terre_dauphine1286048388.jpg","image/jpeg",46183,"2015-01-03 20:01:50.105582",""
15,"Snelle vegetarische noedels","Dressing:<br>Doe 3 el soja, sesamolie, en japanse rijstwijn azijn in een kom met wat geraspte gember en knoflook. Eventueel een snufje peper.<br><br>Breng ruim water aan de kook en doe hier groente in zoals; broccoli, peultjes, kool, tauge, kastanje champignons of wat je verder nog hebt liggen. Voeg noedels toe. Giet het geheel af in een vergiet en voeg het mengsel toe aan de kom met de dressing en hussel het goed door elkaar.<br><br>Serveer het met een gebakken eitjes en wat chili saus.",1,"2015-01-03 17:03:54.269728","2015-01-03 20:01:37.570424","snellenoedels.jpg","image/jpeg",285342,"2015-01-03 20:01:35.871035",""
16,"Karnemelk pudding","Een eenvoudig en lekker nagerechtje:<br><br><b>Ingrediënten</b>:<br>12 blaadjes rode gelatine<br>125 ml water<br>125 gram suiker<br>1 liter karnemelk<br>1 citroen<br><br><b>Bereiding</b>:<br>Laat de gelatine 5 minuten wellen in koud water. Knijp de bladen dan voorzichtig uit en doe ze in een pannetje met het water. En voeg al roerend de suiker toe terwijl het geheel op laag vuur staat. Het hoeft niet te koken; wanneer alles opgelost is rasp je het geel van de citroen en voeg je dit toe; het sap van de citroen mag er ook bij.<br><br>Pak een grote kom en doe het mengsel hierin, voeg in gedeeltes al roerend de karnemelk toe en laat het dan 3 a 4 uur afkoelen.<br><br>Wanneer je geen rode gelatine bladen kan vinden kun je ook witte gebruiken. Vervang het water dan door 125ml rode besseb sap.",1,"2015-01-24 20:18:57.345612","2015-01-24 20:19:09.549366","","","","",""
17,"Zomerse CousCous salade","250g couscous<br>450ml groentebouillon<br>1/2 tl suiker<br>5 eetlepel olijfolie<br>bosje bladpeterselie<br>3 lenteuitjes kleingesneden<br>2 paprika (rood en geel) in hele kleine blokjes<br>1 citroen<br><br>Dressing: gebruik 5 tl olijfolie en het sap van 1 citroen, zout en peper en wat suiker.<br><br>Kook de couscous volgens de verpakking maar gebruik i.p.v. water de groentebouillon; laat de couscous afkoelen. Meng de dressing onder de couscous en voeg de kruiden, lenteuitjes, en paprika in blokjes gesneden toe.",1,"2015-06-29 12:27:03.99352","2015-07-01 07:56:32.007882","","","","",""
18,"Aardappelen met zwarte truffel roomsaus","80g zwarte truffel in plakjes<br>200ml room<br>450g aardappelen in plakjes<br>eventueel wat uitgebakken spekjes.<br>50g geraspte parmezaanse kaas<br><br>Wanneer je voorgekookte aardappelplakjes gebruikt kun je die rechtreeks verwerken of ze na gaatjes in de verpakking geprikt te hebben eerst nog 2 minuten op 900 watt in de magnetron te doen zodat ze wat zachter worden. Doe je de aardappels zelf; kook ze dan 20 minuten.<br><br>Doe de aardappels in een pan met wat olijfolie en voeg de room toe, laat de room een beetje inkoken en breng het mengsel over naar een overschotel. Verdeel de truffel over en in het mengsel. Strooi de kaas erover en zet 20 minuten in de oven op 200 graden.",1,"2015-06-29 12:28:07.079845","2015-07-04 16:09:14.111706","","","","",""
19,"Lauwwarme aardappelsalade met pittige mosterddressing","600 - 800 gr aardappelen.<br>zout,peper.<br>500gr dunne sperziebonen<br>20 kerstomaatjes<br>3 el mayonaise.<br>2 tl grove mosterd<br>3 el olijfolie.<br>2 - 3 tl limoen&nbsp;of citroensap.<br>3 - 4 el fijn geneden&nbsp;tuinkers<br><br><b>Bereiden</b><br>Kook de aardappelen in 25 min. gaar.&nbsp;Laat ze lauwwarm afkoelen en snij ze in partjes.&nbsp;Kook de sperziebonen in 4-5 min beet gaar en&nbsp;laat ze uitlekken en tot lauwwarm afkoelen.&nbsp;Meng de aardappelen luchtig met de sperzieboontjes en de kerstomaatjes.&nbsp;<br><br>Meng voor de dressing de mayonaise,mosterd.olijfolie,limoensap en de tuinkers en breng op smaak met peper en zout.<br><br>Strooi de resterende tuinkers bovenop de salade.<br><br>",1,"2015-07-04 16:11:10.611193","2015-07-04 16:13:07.865906","","","","",""
20,"Thailandse mihoen salade","1 rode ui<br>1 bos lenteuitjes<br>halfe bos bieslook, halve bos korainder<br>2 chili pepers<br>100gram bleekselderij<br>100gram garnalen<br>2 kip filets in streepjes<br>50gram mihoen<br>1 knoflook<br>100gram tauge<br>citroensap<br>3 eetlepel vissaus<br>2 eetlepel sesamolie<br>50gram cashew nootjes<br>beetje suiker<br><br>Uien en lenteuitjes snipperen + ringen. Bieslook + koriander&nbsp;grof hakken, chilipepers in fijne ringen zonder pitjes. Bleekselderij in schijfjes snijden. Mihoen koken volgens verpakking. Daarna met schaar een paar keer doorknippen.<br>Kipfilet aanbraden, knoflook, chili en selderij toevoegen. Rest van versnipperde groente toevoegen. Dressing los maken en toevoegen.&nbsp;<br><br><br>",1,"2015-07-05 10:58:48.500426","2015-07-05 10:58:48.500426","","","","",""
21,"Echte Indonesische nasi","Kook de rijst.&nbsp;Doe dit liever 2 uurtjes vantevoren (of nog beter: een dag tevoren!) zodat de rijst goed afgekoeld is, dan wokt ie lekkerder!<br><br>Maak een boemboe van:&nbsp;2 sjalotjes (fijner gesneden)<br>4 teentjes koflook&nbsp;(in stukjes)<br>2 Spaans pepertje (in stukjes)<br>stukje gemberwortel (ca 3cm, kleinergesneden)<br>1 volle tl koenjit<br><br>Roerbak het vlees op hoog vuur snel bruin en knapperig. Haal het vlees uit de wok. Bak&nbsp;2 klein gesneden uien. Voeg daaraan de boemboe toe met een extra eetlepel trassi en 2 theelepels sambal.<br><br>Klop 2 eieren los en voeg die toe aan het boemboe mengsel in de pan; voeg dan het vlees toe en hussel het goed door elkaar; voeg als laatste de rijst toe en roerbak totdat het warm is.<br><br><br><br>",1,"2015-08-16 11:40:30.293786","2015-08-16 11:58:10.340992","","","","",""
22,"Spaanse gehaktballetjes in pittige tomatensaus","Ingredienten<br>1 ui<br><div>1 rode peper</div><div>2 sneetjes witbrood</div><div>5 glas rode of witte wijn</div><div>2 sjalotten</div><div>3 tenen knoflook</div><div>250 g half-om-halfgehakt</div><div>1 ei</div><div>1 mespunt nootmuskaat</div><div>2 el platte peterselie<br>1 mespunt sherpe paprika poeder</div><div>1 el olijfolie</div><div>250 g gezeefde tomaten (pak)</div><br><br><ol><li>Snijd het steeltje van de rode peper. Halveer de peper in de lengte en verwijder met een scherp mesje de zaadlijsten. Snijd het vruchtvlees in reepjes. Snijd de korstjes van het brood, leg het brood op een bord en besprenkel met de wijn. Snipper de sjalot en snijd de knoflook fijn.</li><li>Meng het brood met het gehakt, ei, de rode peper, sjalot, knoflook, nootmuskaat en de fijngesneden peterselie. Breng op smaak met peper en eventueel zout. Vorm met vochtige handen 16 balletjes van het gehakt. Verhit de olie in een koekenpan en bak de balletjes in 5 min. rondom bruin.</li><li>Voeg de ui toe aan de pan met balletjes totdat ze glaazig zijn, schenk dan de gezeefde tomaten en de paprika poeder&nbsp;bij de gehaktballetjes in de pan en verwarm afgedekt 15 min. op laag vuur. Voeg eventueel wat water toe als de saus te droog wordt. Serveer met de rest van de fijngesneden peterselie. Wordt de saus te scherp dan kun je eventueel wat suiker toevoegen. Meestal voeg ik ook nog wat balsamico toe.</li></ol><br><br><br><br>",1,"2015-12-24 13:16:02.05942","2015-12-24 13:19:25.555821","","","","",""
